token_count,file_name
184,gold_full/Banco/CasaVerso/BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md
102,gold_full/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md
61,gold_full/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md
46,gold_full/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md
77,gold_full/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md
39,gold_full/Banco/CasaVerso/BD1-00585 - Hay propiedades para arriendo.md
45,gold_full/Banco/CasaVerso/BD1-00586 - Hay propiedades usadas.md
78,gold_full/Banco/CasaVerso/BD1-00587 - Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web esto es correcto.md
163,gold_full/Banco/CasaVerso/BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md
96,gold_full/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md
54,gold_full/Banco/CasaVerso/BD1-00590 - Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado.md
103,gold_full/Banco/CasaVerso/BD1-00591 - Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario.md
50,gold_full/Banco/CasaVerso/BD1-00592 - Qué pasa si no recuerdo mis credenciales de la Bance en línea.md
58,gold_full/Banco/CasaVerso/BD1-00593 - Si soy cliente del BancoEstado puedo ingresar con mis credenciales del banco.md
55,gold_full/Banco/Negocio/BD1-00594 - Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario.md
92,gold_full/Banco/Negocio/BD1-00595 - Buen comportamiento y endeudamiento.md
280,gold_full/Banco/Negocio/BD1-00596 - Complementación de Renta Crédito Hipotecario.md
127,gold_full/Banco/Negocio/BD1-00597 - Financiamiento para Solicitar Crédito Hipotecario.md
77,gold_full/Banco/Negocio/BD1-00598 - Ley 21.389 de Pensiones.md
51,gold_full/Banco/Negocio/BD1-00599 - Nacionalidad para Solicitar Crédito Hipotecario.md
49,gold_full/Banco/Negocio/BD1-00600 - Pie para solicitar Crédito Hipotecario.md
280,gold_full/Banco/Negocio/BD1-00601 - Rango de Edad Minima y Maxima para solicitar Crédito Hipotecario.md
256,gold_full/Banco/Negocio/BD1-00602 - Renta líquida Mínima para Solicitar Crédito Hipotecario.md
522,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00033 - Qué documentos debes guardar para mantener en orden tus gastos_v1.0.md
370,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00034 - Cuidado con el sobreendeudamiento_v1.0.md
964,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00035 - Aprende a renegociar una deuda_v1.0.md
526,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00036 - Cómo calcular tu capacidad de pago_v1.0.md
964,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00037 - Aprende a renegociar una deuda_v1.0.md
1007,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00038 - Lo que debes saber antes de solicitar un crédito_v1.0.md
624,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00039 - La importancia del endeudamiento informado_v1.0.md
272,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00040 - Cómo usar eficientemente tu Tarjeta de Crédito_v1.0.md
625,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00041 - Cómo planificar y fijar metas financieras_v1.0.md
497,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00042 - Ventajas de organizar mis finanzas personales_v1.0.md
646,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00043 - 3 pasos para no llegar justos a fin de mes_v1.0.md
453,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00044 - El alza de los créditos informales y sus consecuencias_v1.0.md
300,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00045 - Simulador crediticio una gran herramienta para tomar decisiones_v1.0.md
610,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00046 - Recomendaciones para usar tu tarjeta de crédito_v1.0.md
980,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00047 - Qué debo considerar en mi declaración de renta como personas_v1.0.md
472,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00048 - Revisa el paso a paso para denunciar un siniestro_v1.0.md
372,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00049 - Conoce el financiamiento especial para EcoViviendas_v1.0.md
1523,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00050 - Preguntas frecuentes CuentaRUT_v1.0.md
297,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00051 - Seguimos innovando en CuentaRUT_v1.0.md
428,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00052 - Qué es la inflación_v1.0.md
627,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00053 - Esto es lo que ocurre al descuidar la cotización antes de solicitar financiamiento_v1.0.md
452,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00054 - Navidad segura Consejos para realizar tus compras de fin de año_v1.0.md
524,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00055 - Estrategias para implementar el microahorro y garantizar una reserva mensual_v1.0.md
434,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00056 - Cómo salir de DICOM_v1.0.md
295,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00057 - Qué es DICOM_v1.0.md
246,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00058 - Consejos para evitar los gastos hormiga_v1.0.md
328,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00059 - Qué son los gastos hormiga_v1.0.md
508,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00060 - La importancia de la Educación Financiera en la gestión de las deudas_v1.0.md
477,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00061 - Consejos para un marzo sin apuros financieros_v1.0.md
333,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00062 - Cómo hacer frente al aumento del costo de vida consejos prácticos_v1.0.md
770,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00063 - Cómo funciona el seguro de cesantía_v1.0.md
403,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00064 - Gastos hormiga y vampiro el impacto de los pequeños gastos en tus finanzas_v1.0.md
376,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00065 - Cómo elaborar un presupuesto familiar efectivo_v1.0.md
330,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00066 - 5 claves para sobrevivir a las compras navideñas_v1.0.md
350,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00067 - La regla 50 30 20 para organizar tus finanzasv1.0.md
358,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00068 - Cómo organizar tus gastos de vacaciones sin endeudarte_v1.0.md
271,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00069 - Cómo cerrar el año con tus finanzas bajo control_v1.0.md
388,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00071 - Cómo mejorar la administración de tus finanzas_v1.0.md
390,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00072 - Cómo organizar tus finanzas con la vuelta a clases_v1.0.md
357,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00073 - Cómo negociar tus gastos variables y obtener mejores tarifas_v1.0.md
466,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00074 - Cómo organizar el dinero en pareja y qué acuerdos legales pueden ayudar_v1.0.md
358,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00075 - Feriado largo a la vista cómo evitar que tu bolsillo sufra_v1.0.md
291,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00076 - Gastos fijos y variables qué son y cómo mantenerlos bajo control_v1.0.md
463,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00077 - Avances en efectivo para qué sirven y cuándo usarlos_v1.0.md
343,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00078 - Qué es la Consolidación de Deudas y cuándo podría ayudarte_v1.0.md
400,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00079 - Qué es la CAE y por qué es importante al pedir un crédito_v1.0.md
339,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00080 - Cuánto cuesta usar la tarjeta de crédito Comisiones y cobros que debes conocer_v1.0.md
317,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00081 - Qué es la carga financiera y cómo saber si está en un nivel saludable_v1.0.md
81,gold_full/Educacion Financiera/Diccionario/BD1-00170 - ABONAR EN CUENTA.md
47,gold_full/Educacion Financiera/Diccionario/BD1-00171 - ACCIDENTE.md
22,gold_full/Educacion Financiera/Diccionario/BD1-00172 - ACCIÓN.md
49,gold_full/Educacion Financiera/Diccionario/BD1-00173 - ACTIVIDADES ECONÓMICAS.md
118,gold_full/Educacion Financiera/Diccionario/BD1-00174 - ACTIVO.md
26,gold_full/Educacion Financiera/Diccionario/BD1-00175 - ACTIVO CORRIENTE.md
62,gold_full/Educacion Financiera/Diccionario/BD1-00176 - ACTIVO NO CORRIENTE O INMOVILIZADO.md
213,gold_full/Educacion Financiera/Diccionario/BD1-00177 - AFP.md
169,"gold_full/Educacion Financiera/Diccionario/BD1-00178 - AGENTES ECONÓMICOS (ECONOMÍA, ESCASEZ Y RECURSOS LIMITADOS).md"
172,"gold_full/Educacion Financiera/Diccionario/BD1-00179 - AGENTES ECONÓMICOS (MERCADO, PRODUCCIÓN DE BIENES Y SERVICIOS Y TRABAJO).md"
103,gold_full/Educacion Financiera/Diccionario/BD1-00180 - AGRAVACIÓN DEL RIESGO.md
219,gold_full/Educacion Financiera/Diccionario/BD1-00181 - AHORRO.md
167,gold_full/Educacion Financiera/Diccionario/BD1-00182 - ANÁLISIS DE MERCADO.md
61,gold_full/Educacion Financiera/Diccionario/BD1-00183 - AÑO BASE.md
88,gold_full/Educacion Financiera/Diccionario/BD1-00184 - AÑO COMERCIAL.md
53,gold_full/Educacion Financiera/Diccionario/BD1-00185 - AÑO FISCAL.md
24,gold_full/Educacion Financiera/Diccionario/BD1-00186 - AÑO TRIBUTARIO.md
69,gold_full/Educacion Financiera/Diccionario/BD1-00187 - ANTECEDENTES COMERCIALES Y CREDITICIOS.md
81,gold_full/Educacion Financiera/Diccionario/BD1-00188 - ANUNCIANTE.md
45,"gold_full/Educacion Financiera/Diccionario/BD1-00189 - ARANCEL (MERCADO, PRODUCCIÓN DE BIENES Y SERVICIOS Y TRABAJO).md"
64,gold_full/Educacion Financiera/Diccionario/BD1-00190 - ARANCELES (TRIBUTARIO).md
118,gold_full/Educacion Financiera/Diccionario/BD1-00191 - ARBITRAJE.md
30,gold_full/Educacion Financiera/Diccionario/BD1-00192 - ASEGURABLE.md
30,gold_full/Educacion Financiera/Diccionario/BD1-00193 - ASEGURADO.md
52,gold_full/Educacion Financiera/Diccionario/BD1-00194 - ASEGURADOR.md
128,gold_full/Educacion Financiera/Diccionario/BD1-00195 - ASOCIACIÓN DE CONSUMIDORES.md
87,gold_full/Educacion Financiera/Diccionario/BD1-00196 - AVAL (ENDEUDAMIENTO).md
72,"gold_full/Educacion Financiera/Diccionario/BD1-00197 - AVAL (MERCADO, PRODUCCIÓN DE BIENES Y SERVICIOS Y TRABAJO).md"
68,gold_full/Educacion Financiera/Diccionario/BD1-00198 - AVANCE EN EFECTIVO.md
81,gold_full/Educacion Financiera/Diccionario/BD1-00199 - AVISO O DENUNCIA DE SINIESTRO.md
60,gold_full/Educacion Financiera/Diccionario/BD1-00200 - BALANCE GENERAL.md
76,gold_full/Educacion Financiera/Diccionario/BD1-00201 - BANCA.md
132,gold_full/Educacion Financiera/Diccionario/BD1-00202 - BANCA ONLINE O E – BANKING.md
225,gold_full/Educacion Financiera/Diccionario/BD1-00203 - BANCO.md
236,gold_full/Educacion Financiera/Diccionario/BD1-00204 - BANCO CENTRAL.md
55,gold_full/Educacion Financiera/Diccionario/BD1-00205 - BASE IMPONIBLE.md
61,gold_full/Educacion Financiera/Diccionario/BD1-00206 - BENEFICIARIO.md
91,gold_full/Educacion Financiera/Diccionario/BD1-00207 - BENEFICIO.md
54,gold_full/Educacion Financiera/Diccionario/BD1-00208 - BIEN.md
163,gold_full/Educacion Financiera/Diccionario/BD1-00209 - BIEN ESCASO.md
111,gold_full/Educacion Financiera/Diccionario/BD1-00210 - BIENES COMPLEMENTARIOS.md
174,gold_full/Educacion Financiera/Diccionario/BD1-00211 - BIENES DE CAPITAL.md
114,gold_full/Educacion Financiera/Diccionario/BD1-00212 - BIENES DE CONSUMO.md
66,gold_full/Educacion Financiera/Diccionario/BD1-00213 - BIENES INFERIORES.md
122,gold_full/Educacion Financiera/Diccionario/BD1-00214 - BIENES INMUEBLES.md
43,gold_full/Educacion Financiera/Diccionario/BD1-00215 - BIENES INTERMEDIOS.md
57,gold_full/Educacion Financiera/Diccionario/BD1-00216 - BIENES LIBRES.md
74,gold_full/Educacion Financiera/Diccionario/BD1-00217 - BIENES MUEBLES.md
47,gold_full/Educacion Financiera/Diccionario/BD1-00218 - BIENES NORMALES.md
41,gold_full/Educacion Financiera/Diccionario/BD1-00219 - BIENES PÚBLICOS.md
72,gold_full/Educacion Financiera/Diccionario/BD1-00220 - BIENES SUSTITUTOS.md
97,gold_full/Educacion Financiera/Diccionario/BD1-00221 - BOLETÍN COMERCIAL.md
279,gold_full/Educacion Financiera/Diccionario/BD1-00222 - BOLSA DE VALORES.md
134,gold_full/Educacion Financiera/Diccionario/BD1-00223 - BONOS.md
33,gold_full/Educacion Financiera/Diccionario/BD1-00224 - CAER EN MORA.md
68,gold_full/Educacion Financiera/Diccionario/BD1-00225 - CAJERO AUTOMÁTICO.md
45,gold_full/Educacion Financiera/Diccionario/BD1-00226 - CAPACIDAD DE PAGO.md
115,gold_full/Educacion Financiera/Diccionario/BD1-00227 - CAPITAL.md
73,gold_full/Educacion Financiera/Diccionario/BD1-00228 - CAPITAL SOCIAL.md
32,gold_full/Educacion Financiera/Diccionario/BD1-00229 - CAPITALISMO.md
42,gold_full/Educacion Financiera/Diccionario/BD1-00230 - CARENCIA.md
51,gold_full/Educacion Financiera/Diccionario/BD1-00231 - CARGA ANUAL EQUIVALENTE (CAE).md
40,gold_full/Educacion Financiera/Diccionario/BD1-00232 - CARGOS FIJOS.md
121,gold_full/Educacion Financiera/Diccionario/BD1-00233 - CHEQUE.md
57,gold_full/Educacion Financiera/Diccionario/BD1-00234 - CICLO ECONÓMICO.md
146,gold_full/Educacion Financiera/Diccionario/BD1-00235 - CIRCULANTE.md
34,gold_full/Educacion Financiera/Diccionario/BD1-00236 - CIUDADANÍA CORPORATIVA.md
86,gold_full/Educacion Financiera/Diccionario/BD1-00237 - CLÁUSULA GENERAL.md
71,gold_full/Educacion Financiera/Diccionario/BD1-00238 - CLÁUSULAS ABUSIVAS.md
96,gold_full/Educacion Financiera/Diccionario/BD1-00239 - CLÁUSULAS ADICIONALES.md
221,gold_full/Educacion Financiera/Diccionario/BD1-00240 - CLIENTE.md
83,gold_full/Educacion Financiera/Diccionario/BD1-00241 - COBERTURA.md
115,gold_full/Educacion Financiera/Diccionario/BD1-00242 - COBRANZAS EXTRAJUDICIALES.md
42,gold_full/Educacion Financiera/Diccionario/BD1-00243 - COBRO INDEBIDO.md
68,gold_full/Educacion Financiera/Diccionario/BD1-00244 - COLOCACIÓN.md
65,gold_full/Educacion Financiera/Diccionario/BD1-00245 - COMERCIALIZACIÓN.md
76,gold_full/Educacion Financiera/Diccionario/BD1-00246 - COMERCIO.md
54,gold_full/Educacion Financiera/Diccionario/BD1-00247 - COMISIÓN DE PREPAGO.md
51,gold_full/Educacion Financiera/Diccionario/BD1-00248 - COMISIONES.md
238,gold_full/Educacion Financiera/Diccionario/BD1-00249 - COMPETENCIA.md
111,gold_full/Educacion Financiera/Diccionario/BD1-00250 - COMPETIDOR.md
104,gold_full/Educacion Financiera/Diccionario/BD1-00251 - COMPORTAMIENTO DEL CONSUMIDOR.md
126,gold_full/Educacion Financiera/Diccionario/BD1-00252 - COMPRA.md
96,gold_full/Educacion Financiera/Diccionario/BD1-00253 - CONDICIONES GENERALES.md
91,gold_full/Educacion Financiera/Diccionario/BD1-00254 - CONDICIONES PARTICULARES.md
66,gold_full/Educacion Financiera/Diccionario/BD1-00255 - CONSUMIDOR.md
65,gold_full/Educacion Financiera/Diccionario/BD1-00256 - CONSUMIDORES O USUARIOS.md
69,gold_full/Educacion Financiera/Diccionario/BD1-00257 - CONSUMISMO.md
107,gold_full/Educacion Financiera/Diccionario/BD1-00258 - CONSUMO.md
70,gold_full/Educacion Financiera/Diccionario/BD1-00259 - CONTABILIDAD COMPLETA.md
96,gold_full/Educacion Financiera/Diccionario/BD1-00260 - CONTABILIDAD FIDEDIGNA.md
84,gold_full/Educacion Financiera/Diccionario/BD1-00261 - CONTABILIDAD SIMPLIFICADA.md
122,gold_full/Educacion Financiera/Diccionario/BD1-00262 - CONTRATANTE.md
74,gold_full/Educacion Financiera/Diccionario/BD1-00263 - CONTRATO DE ADHESIÓN.md
106,gold_full/Educacion Financiera/Diccionario/BD1-00264 - CONTRATO DE TRABAJO.md
124,gold_full/Educacion Financiera/Diccionario/BD1-00265 - CONTRIBUCIONES.md
131,gold_full/Educacion Financiera/Diccionario/BD1-00266 - CONTRIBUYENTE.md
142,gold_full/Educacion Financiera/Diccionario/BD1-00267 - CORREDOR DE SEGUROS.md
54,gold_full/Educacion Financiera/Diccionario/BD1-00268 - COSTE DE TRANSACCIÓN.md
91,gold_full/Educacion Financiera/Diccionario/BD1-00269 - COSTO BENEFICIO.md
246,gold_full/Educacion Financiera/Diccionario/BD1-00270 - COSTO.md
233,gold_full/Educacion Financiera/Diccionario/BD1-00271 - COSTO DE OPORTUNIDAD.md
56,gold_full/Educacion Financiera/Diccionario/BD1-00272 - COSTO MARGINAL.md
31,gold_full/Educacion Financiera/Diccionario/BD1-00273 - COSTO MEDIO.md
49,gold_full/Educacion Financiera/Diccionario/BD1-00274 - COSTO TOTAL.md
77,gold_full/Educacion Financiera/Diccionario/BD1-00275 - COSTO TOTAL DEL CRÉDITO (CTC).md
31,gold_full/Educacion Financiera/Diccionario/BD1-00276 - COSTOS DIRECTOS.md
54,gold_full/Educacion Financiera/Diccionario/BD1-00277 - COSTOS FIJO.md
90,gold_full/Educacion Financiera/Diccionario/BD1-00278 - COSTOS INDIRECTOS.md
44,gold_full/Educacion Financiera/Diccionario/BD1-00279 - COSTOS VARIABLES.md
85,gold_full/Educacion Financiera/Diccionario/BD1-00280 - COTIZAR.md
243,gold_full/Educacion Financiera/Diccionario/BD1-00281 - CRÉDITO.md
82,gold_full/Educacion Financiera/Diccionario/BD1-00282 - CRÉDITO DE CONSUMO.md
133,gold_full/Educacion Financiera/Diccionario/BD1-00283 - CRÉDITO HIPOTECARIO.md
76,gold_full/Educacion Financiera/Diccionario/BD1-00284 - CRÉDITO PREAPROBADO.md
221,gold_full/Educacion Financiera/Diccionario/BD1-00285 - CUENTA CORRIENTE.md
199,gold_full/Educacion Financiera/Diccionario/BD1-00286 - CUENTA DE AHORRO.md
35,gold_full/Educacion Financiera/Diccionario/BD1-00287 - DAÑO PATRIMONIAL.md
107,gold_full/Educacion Financiera/Diccionario/BD1-00288 - DECLARACIÓN DE RENTA.md
98,gold_full/Educacion Financiera/Diccionario/BD1-00289 - DECLARACIÓN PERSONAL DE SALUD.md
59,gold_full/Educacion Financiera/Diccionario/BD1-00290 - DEDUCIBLE.md
130,gold_full/Educacion Financiera/Diccionario/BD1-00291 - DEMANDA.md
64,gold_full/Educacion Financiera/Diccionario/BD1-00292 - DEMANDA LABORAL.md
174,gold_full/Educacion Financiera/Diccionario/BD1-00293 - DEPÓSITO.md
121,gold_full/Educacion Financiera/Diccionario/BD1-00294 - DEPÓSITO A PLAZO.md
83,gold_full/Educacion Financiera/Diccionario/BD1-00295 - DEPRECIACIÓN.md
152,gold_full/Educacion Financiera/Diccionario/BD1-00296 - DERECHOS DEL CONSUMIDOR.md
74,gold_full/Educacion Financiera/Diccionario/BD1-00297 - DESEMPLEO.md
110,gold_full/Educacion Financiera/Diccionario/BD1-00298 - DESEMPLEO ESTACIONAL.md
92,gold_full/Educacion Financiera/Diccionario/BD1-00299 - DESEMPLEO TECNOLÓGICO.md
30,gold_full/Educacion Financiera/Diccionario/BD1-00300 - DESGRAVAR.md
117,gold_full/Educacion Financiera/Diccionario/BD1-00301 - DEUDA.md
49,gold_full/Educacion Financiera/Diccionario/BD1-00302 - DEUDOR RESPONSABLE.md
86,gold_full/Educacion Financiera/Diccionario/BD1-00303 - DICOM.md
120,gold_full/Educacion Financiera/Diccionario/BD1-00304 - DINERO.md
81,gold_full/Educacion Financiera/Diccionario/BD1-00305 - DINERO FIDUCIARIO.md
66,gold_full/Educacion Financiera/Diccionario/BD1-00306 - DINERO MERCANCÍA.md
97,gold_full/Educacion Financiera/Diccionario/BD1-00307 - DIVISA.md
167,gold_full/Educacion Financiera/Diccionario/BD1-00308 - DIVISIÓN DE TRABAJO.md
101,gold_full/Educacion Financiera/Diccionario/BD1-00309 - DÓLAR ACUERDO.md
36,gold_full/Educacion Financiera/Diccionario/BD1-00310 - DÓLAR INFORMAL.md
53,gold_full/Educacion Financiera/Diccionario/BD1-00311 - DÓLAR OBSERVADO.md
102,gold_full/Educacion Financiera/Diccionario/BD1-00312 - ECONOMÍA.md
125,gold_full/Educacion Financiera/Diccionario/BD1-00313 - ECONOMÍA DE MERCADO.md
74,gold_full/Educacion Financiera/Diccionario/BD1-00314 - EFECTIVO.md
54,gold_full/Educacion Financiera/Diccionario/BD1-00315 - EFICIENCIA.md
71,gold_full/Educacion Financiera/Diccionario/BD1-00316 - EMBARGO.md
